Node0px,Node0py,Node0pz,Node1px,Node1py,Node1pz,Node2px,Node2py,Node2pz,Node3px,Node3py,Node3pz,Node4px,Node4py,Node4pz,Node5px,Node5py,Node5pz,Node6px,Node6py,Node6pz,Node7px,Node7py,Node7pz,Node8px,Node8py,Node8pz,Node9px,Node9py,Node9pz,Node10px,Node10py,Node10pz,Node11px,Node11py,Node11pz,Node12px,Node12py,Node12pz,Node13px,Node13py,Node13pz,Node14px,Node14py,Node14pz,Node15px,Node15py,Node15pz,Node16px,Node16py,Node16pz,Node17px,Node17py,Node17pz,Node18px,Node18py,Node18pz,Node19px,Node19py,Node19pz,Node20px,Node20py,Node20pz
(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m)
400,692.82,-400,389.7377,673.3533,-400.0055,379.4585,653.8956,-400.0056,368.9743,634.5474,-400.0056,358.3823,615.2581,-400.0056,347.7357,595.9986,-400.0056,336.9119,576.838,-400.0053,325.9569,557.7519,-400.0127,315.0118,538.7815,-397.8602,304.117,519.9109,-394.7754,293.2268,501.0504,-391.6123,282.3437,482.2015,-388.3548,271.4912,463.3918,-384.7817,260.7273,444.6941,-380.4341,250.1116,426.2322,-374.8795,239.6726,408.1086,-368.025,229.5063,390.4192,-359.7678,219.6142,373.2153,-350.2464,210.036,356.5672,-339.4939,200.8298,340.6118,-327.4431,191.9939,325.3317,-314.2889
400,692.82,-400,389.749,673.3373,-400.0055,379.4491,653.8805,-400.0056,369.0056,634.5004,-400.0056,358.4251,615.1948,-400.0056,347.8112,595.9076,-400.0056,337.114,576.6666,-400.0055,326.259,557.5143,-400.0035,315.2966,538.4253,-399.7313,304.3664,519.4799,-397.234,293.4724,500.61,-394.0897,282.6005,481.7704,-390.6978,271.7808,462.9935,-386.8246,261.0564,444.3581,-382.0975,250.4538,425.9528,-376.3118,240.0311,407.8523,-369.3556,229.8468,390.1527,-361.1298,219.961,372.9758,-351.5438,210.4372,356.4387,-340.5664,201.2535,340.5551,-328.3982,192.3943,325.2837,-315.2445
400,692.82,-400,389.749,673.3361,-400.0055,379.3478,653.932,-400.0056,368.9473,634.5275,-400.0056,358.4666,615.1663,-400.0056,347.8361,595.887,-400.0056,337.1847,576.6193,-400.0056,326.4698,557.3869,-400.0055,315.6179,538.2315,-400.0021,304.6651,519.1491,-399.2381,293.7583,500.2327,-396.4275,282.9089,481.4103,-392.8639,272.1264,462.6869,-388.6367,261.4275,444.122,-383.5791,250.8571,425.7748,-377.5495,240.4719,407.7302,-370.3898,230.3056,390.0928,-362.0052,220.4481,372.9937,-352.2481,210.9144,356.5065,-341.2004,201.7125,340.6158,-329.0511,192.8225,325.3313,-315.9298
400,692.82,-400,389.6473,673.3931,-400.0055,379.2932,653.9669,-400.0056,368.8606,634.5827,-400.0056,358.3901,615.2189,-400.0056,347.859,595.8878,-400.0056,337.2182,576.6168,-400.0056,326.5452,557.3635,-400.0055,315.8188,538.1397,-400.005,304.9854,518.976,-399.9213,294.0819,499.9306,-398.1854,283.2379,481.086,-394.7312,272.475,462.4106,-390.2536,261.8136,443.9093,-384.8948,251.2935,425.6422,-378.5434,240.9488,407.702,-371.0694,230.8525,390.2006,-362.3218,221.0075,373.1974,-352.3844,211.447,356.7084,-341.3604,202.1887,340.7978,-329.2777,193.2317,325.4618,-316.2597
400,692.82,-400,389.5906,673.416,-400.0055,379.2045,653.9996,-400.0056,368.7695,634.6094,-400.0056,358.2793,615.2492,-400.0056,347.7798,595.894,-400.0056,337.209,576.5778,-400.0056,326.5469,557.3119,-400.0056,315.8665,538.0562,-400.0055,305.149,518.8214,-400.0002,294.3469,499.6632,-398.9426,283.5084,480.7103,-396.0876,272.7545,462.0202,-391.6297,262.1322,443.5762,-385.9878,251.6621,425.4218,-379.2316,241.3952,407.6446,-371.2678,231.3452,390.2966,-362.1617,221.528,373.3785,-352.0479,211.951,356.9402,-340.959,202.633,341.0112,-328.9438,193.6132,325.6434,-316.0049
400,692.82,-400,389.6071,673.4106,-400.0055,379.1277,654.0477,-400.0056,368.6842,634.6654,-400.0056,358.2224,615.293,-400.0056,347.6865,595.9607,-400.0056,337.1531,576.6271,-400.0056,326.5762,557.3171,-400.0056,315.9165,538.0527,-400.0055,305.2288,518.8038,-400.0005,294.5258,499.6006,-398.8035,283.7848,480.5195,-396.5018,273.0608,461.7214,-392.4533,262.4609,443.3021,-386.6956,252.0513,425.2815,-379.5059,241.8436,407.668,-371.1163,231.8327,390.4324,-361.7592,222.0344,373.6173,-351.4584,212.4585,357.2476,-340.268,203.1329,341.3547,-328.2112,194.0761,325.9444,-315.3486
400,692.82,-400,389.57,673.4311,-400.0055,379.1307,654.0472,-400.0056,368.6339,634.6943,-400.0056,358.1371,615.3414,-400.0056,347.6377,595.9899,-400.0056,337.0904,576.6645,-400.0056,326.5365,557.3425,-400.0056,315.9433,538.0421,-400.0054,305.2774,518.7817,-399.9633,294.5983,499.57,-398.6994,283.9541,480.4687,-396.1348,273.3168,461.5759,-392.3071,262.7564,443.0901,-386.6935,252.3699,425.1093,-379.3735,242.1855,407.5705,-370.8023,232.2116,390.4498,-361.1991,222.4346,373.7343,-350.7184,212.8879,357.4418,-339.392,203.58,341.5841,-327.276,194.5072,326.1657,-314.4351
400,692.82,-400,389.5581,673.4358,-400.0055,379.1137,654.0531,-400.0056,368.6261,634.6936,-400.0056,358.0984,615.356,-400.0056,347.5867,596.0097,-400.0056,337.0595,576.6718,-400.0056,326.4879,557.3583,-400.0056,315.9139,538.0462,-400.0053,305.3052,518.7532,-399.9448,294.6568,499.5345,-398.5246,284.0403,480.4629,-395.6389,273.4989,461.6069,-391.3844,263.0072,443.0609,-385.8396,252.6232,424.965,-378.8043,242.4368,407.3987,-370.2921,232.4684,390.3279,-360.5951,222.738,373.6919,-349.9464,213.2241,357.4633,-338.5023,203.9265,341.6385,-326.3367,194.8492,326.2298,-313.4889
400,692.82,-400,389.5804,673.4273,-400.0055,379.0958,654.0697,-400.0056,368.6226,634.7058,-400.0056,358.1272,615.354,-400.0056,347.5784,596.0311,-400.0056,337.0403,576.7024,-400.0056,326.4919,557.3793,-400.0056,315.9025,538.0786,-400.0049,305.3133,518.7787,-399.8122,294.7253,499.5516,-398.1168,284.1408,480.4959,-395.0321,273.6307,461.6934,-390.4847,263.2096,443.1769,-384.7201,252.8732,425.0178,-377.7839,242.6764,407.3427,-369.5171,232.709,390.2013,-359.9482,222.9846,373.5685,-349.2921,213.4903,357.3746,-337.7853,204.2049,341.5898,-325.5608,195.1314,326.2042,-312.6845
400,692.82,-400,389.5731,673.431,-400.0055,379.1219,654.0551,-400.0056,368.6315,634.7004,-400.0056,358.1341,615.3495,-400.0056,347.6106,596.0128,-400.0056,337.0463,576.6984,-400.0056,326.4878,557.3807,-400.0055,315.9178,538.0693,-400.004,305.3196,518.7787,-399.5537,294.747,499.5589,-397.6895,284.2185,480.5118,-394.3699,273.7158,461.7156,-389.7805,263.3219,443.2371,-383.8484,253.0485,425.1093,-376.74,242.9011,407.3725,-368.5462,232.9272,390.1192,-359.1886,223.1743,373.3899,-348.7125,213.6645,357.1739,-337.251,204.3908,341.4103,-324.9919,195.3329,326.0651,-312.0581
